sample_id,iteration,seed,tiempoSimulacion
0,0,60330638837455406799956780713140078333,952
0,1,265091951377031816085631512409766548567,2438
0,2,20006938550051533556667366003024779851,5232
0,3,62593770414618356285527138500587319226,736
0,4,113283448878191799009870061716504449837,2858
1,0,231031460628766233490363009256132386596,5744
1,1,235353171784839535930474858400023822974,1830
1,2,96042569734168178906538646432020445274,1484
1,3,207075872978492281850021513261480743920,2318
1,4,125190504794941708390338660835367035733,2208
2,0,84797462287250134496103085596943610518,2212
2,1,30656372670654176699781570942363076035,4138
2,2,137922622885403439737733331510952001451,2950
2,3,336050510017810162491054323055404105276,1168
2,4,294440712976302488714534318083031236441,1594
3,0,214053150134890756256143513116850970838,3386
3,1,136287422780103883807465528112792037358,2052
3,2,149345379177468388605257780589675638757,2314
3,3,314041139694730031110802937474859947883,1466
3,4,283848467372383000132625271061783438773,4194
4,0,39632155232047238346727095710874269280,1430
4,1,191460824785094104487684377260701459711,1912
4,2,258452512975139556519639155523687135532,2822
4,3,299494307015574938966393572438488858899,2718
4,4,97354866914376423861240550631108494777,1252
