sample_id,iteration,seed,Percentage of burned trees
0,0,270813418660730281282132387413921204829,0.034
0,1,145192184259935235916569867943276201470,0.03
0,2,214990269593619676902529336379459446643,0.029
0,3,72128832619236956868826883311602164011,0.0355
0,4,232581720552043464930912010544570872983,0.023
0,5,273315021777080830180553401337648309290,0.0375
0,6,95202021710867299286931866711212325490,0.0465
0,7,248235770291005500903158036011760246982,0.0295
0,8,200526100030962804920782789096049232111,0.0315
0,9,43179874899248960163167209871266380913,0.027
0,10,56078500967110661838174903147804772221,0.0345
0,11,320593069421176076542904726213887375175,0.0325
0,12,132690135640244111678272769568835264791,0.022
0,13,2695734320821880984872571799730217449,0.0425
0,14,179761541353081740129390501371915604363,0.027
0,15,248613245624801269789560150757997076214,0.037
0,16,23257643301059922808446932079847633312,0.0445
0,17,301729380352458032957041587950608609716,0.03
0,18,295836579466989725177888732102085529993,0.0255
0,19,226318049865265116929283783245821106824,0.0445
0,20,96608404012059603295578396286367343762,0.033
0,21,177875481938228341569371823958558055386,0.0205
0,22,213577102197039539314719696559301749993,0.035
0,23,172841096263249837135243395017219027061,0.03
0,24,285456632515575401618309876982533208556,0.023
0,25,72414006088501650628760527921283238097,0.026
0,26,74586113605353326668021166085017147608,0.034
0,27,201247693433341146315051866246913170079,0.026
0,28,235950157737554591068169003278383761778,0.041
0,29,186682894344822471821164742471550169101,0.0495
0,30,29875816554903472331380602145324188358,0.028
0,31,329638717091668457144637527999331516068,0.0265
0,32,336340702559760342172395827398201658347,0.028
0,33,122305691594239077189832170737588357347,0.0275
0,34,7745875011850313652866307201032083876,0.0415
0,35,288033462043188640479941697317174023370,0.033
0,36,6486707866649510442701330941047591930,0.02
0,37,121815187106270936132162226543188102095,0.035
0,38,194838619933033452269977814789975350034,0.027
0,39,19661678889633312457949484397969608730,0.033
1,0,184868547740010116337912072714795678353,0.0271408516612073
1,1,147483008545065745810192911369765463524,0.02667290594291062
1,2,23193852742221069885848957989760283614,0.036499766027140855
1,3,277979972443272657959905096257573819462,0.04398689751988769
1,4,283562501066494136558108291283946441107,0.034160037435657466
1,5,58263025720015942512563698711844239272,0.04913430042115115
1,6,306701637933910742453304232725033821543,0.02152550304164717
1,7,138006273176780352175218724210726687161,0.033224145999064106
1,8,22210053543505721171686530435455861693,0.029480580252690687
1,9,239956920305381992173947793699407181357,0.02901263453439401
1,10,231755901384016403259716336575509509734,0.026204960224613945
1,11,218114580150564519105884624357341061330,0.024801123069723912
1,12,258362646422949939680894251168344847971,0.03275620028076743
1,13,172750099521453964664853702717389883750,0.03509592887225082
1,14,317486287971324458490037717736870851932,0.037903603182030884
1,15,207232939223365037009506700255150706630,0.0313523631258774
1,16,28805685752287590374749339425871339190,0.027608797379503978
1,17,215107774790254332301763339821265276830,0.029948525970987367
1,18,312024428830836050444909251549609449587,0.03088441740758072
1,19,94458181946754285042760383013145125872,0.03883949461862424
1,20,15518350081486691897474438268658093418,0.035563874590547495
1,21,2053893369285356538017213311734074841,0.04117922321010763
1,22,322719088750530892414598042985777738014,0.0271408516612073
1,23,79190919142908319401984448430060074860,0.026204960224613945
1,24,243416819954568593087004128997770465378,0.039307440336920914
1,25,272143430920774801574991413918131772798,0.03088441740758072
1,26,211268058389342616094906849772563181662,0.030416471689284044
1,27,237020111739063459581023906488002443927,0.039307440336920914
1,28,139551616063069078358610481550723940658,0.031820308844174076
1,29,195144350533143539203957843243100930939,0.027608797379503978
1,30,157684248185929369989992897121884956307,0.045858680393074405
1,31,101223932208209941832190658455755358788,0.039307440336920914
1,32,115111982049536001710280875365245646921,0.035563874590547495
1,33,114229393151299403362572224794240901662,0.02526906878802059
1,34,139016256490504507947711688417007256778,0.04539073467477773
1,35,57810784570878583401796469236094104985,0.04539073467477773
1,36,298791471346556172075881176719221489117,0.04398689751988769
1,37,116904994862704751042295259737496802047,0.061300889096864764
1,38,320786981298374571622207394999245763033,0.018249883013570427
1,39,325375068922812453969553357897117672525,0.043518951801591016
2,0,63982744097659003466106267538648089014,0.037802197802197804
2,1,969805350960487631656832607808347813,0.04659340659340659
2,2,326956126696024313228055594986143161766,0.04087912087912088
2,3,173859545678844471861032740210507358275,0.03428571428571429
2,4,150583962497714695093969100755653167456,0.043076923076923075
2,5,37384760246045593088170565205408553894,0.029010989010989013
2,6,18780482874549200951974215619075081261,0.03428571428571429
2,7,177281743008696139370888933609363867723,0.027252747252747254
2,8,76815220453496040736173647364957527836,0.05450549450549451
2,9,281443053842964173924608310489330167496,0.03428571428571429
2,10,298823570304597397289548842644085973184,0.04483516483516484
2,11,48548514759115667806828977123788971164,0.02989010989010989
2,12,44206045565373619969327911668144327391,0.033846153846153845
2,13,185648254872715082240512247188469489251,0.04879120879120879
2,14,135523936083911297749834784766788073167,0.03076923076923077
2,15,77149106899529918660240099375565627186,0.03472527472527472
2,16,192031328755059739159289149107017633386,0.06065934065934066
2,17,290073656916449480498669571954488139064,0.03340659340659341
2,18,114060318863167416406771010368494131719,0.035164835164835165
2,19,145802058032461128524029143274970891637,0.029010989010989013
2,20,115697668260438325281413548800983594527,0.03296703296703297
2,21,196010249304527589605244027443826023139,0.054945054945054944
2,22,333318633609985453473205279513550798677,0.033846153846153845
2,23,303170763148219286775969736730172095134,0.04
2,24,209873831690757160022373379151785760273,0.027252747252747254
2,25,266883147932490840302924693983761918385,0.03428571428571429
2,26,138314408581749696658430947513530494273,0.04043956043956044
2,27,108178335252274142585968979895149153405,0.04263736263736264
2,28,57390387925163799339168548779466874599,0.04395604395604396
2,29,16879853591637324423245998851362753751,0.05450549450549451
2,30,265870101764830452768959302700567464291,0.03472527472527472
2,31,197353697268139956888533780434784578597,0.03604395604395604
2,32,177975322976132086198881666168933256226,0.04
2,33,310426331299438990150503644883848901761,0.03736263736263736
2,34,57947403042444149752389824637854572529,0.03604395604395604
2,35,239722614572664613608753673366346721771,0.03340659340659341
2,36,222123852083199426512441424542351972320,0.03428571428571429
2,37,290162356479264012957006535776651486366,0.04087912087912088
2,38,65604423139905009094281004926754897619,0.03032967032967033
2,39,111829469363634711788798565167481499179,0.053626373626373625
3,0,171675962789752117182697609770222310260,0.04682967260671363
3,1,296553260926782551838633976727757159031,0.05304600082884376
3,2,84177328900726156573217259385325444449,0.03937007874015748
3,3,139679653721678021851251591979491919236,0.035640281806879406
3,4,112010740406840850095233417500852714516,0.04558640696228761
3,5,177781940858921818962595470534092657126,0.03729796933278077
3,6,7802240482100556469506201981697634592,0.03232490675507667
3,7,19278097521002825961258926389656805193,0.03481143804392872
3,8,16148424373511278503709897044229838071,0.05014504765851637
3,9,246580014015981165652629657856902617940,0.03605470368835474
3,10,87718640058303921064948992975464781153,0.038541234977206795
3,11,54952035129798992403013272625712409843,0.029009531703273934
3,12,107902592990932966407095616274543950512,0.040198922503108164
3,13,97132548440309962176784577693850084313,0.036883547451305426
3,14,106944273522030038769562699522006994956,0.05304600082884376
3,15,252522558107891577596578636644665326936,0.03771239121425611
3,16,218086551797950377428723683880615671506,0.040198922503108164
3,17,131230421151965317890653115786799738272,0.05428926647326979
3,18,153053817487138738127732021196990515860,0.04931620389556569
3,19,151527705771331887778779845872076416222,0.04102776626605885
3,20,210158782939934579772918786030933674532,0.03273932863655201
3,21,73385918627626220843630544494089981442,0.03729796933278077
3,22,82014308443119137931418555269862563992,0.03439701616245338
3,23,288790014773541403996363153029600169411,0.03937007874015748
3,24,33280297637149647545399593290786358293,0.036883547451305426
3,25,170359987287040761287021250010611323217,0.04931620389556569
3,26,169614266577264270703466125910389269437,0.03812681309573145
3,27,101275550910810257153505273519531839233,0.03771239121425611
3,28,317422129220969264437282897063928344428,0.03273932863655201
3,29,279736941991060443745445208270435224987,0.04268545379196022
3,30,54742969913959007660014525767070299524,0.029009531703273934
3,31,295161630688401706634888314152177864190,0.03481143804392872
3,32,200125881745937579815429239174707785445,0.04641525072523829
3,33,27433443925716387284612343040785197236,0.05180273518441774
3,34,237411936873473365936343586885066221306,0.03108164111065064
3,35,279162715656596326433704839320942251394,0.03729796933278077
3,36,166472535219953893730855843213438337211,0.04931620389556569
3,37,10597313984123315731567658145068613448,0.04558640696228761
3,38,48511453312009925766012997701707969357,0.04641525072523829
3,39,4148437553426686157880112892939871199,0.021964359718193122
4,0,238392165346038507252459221928900055710,0.051352410819286556
4,1,309311888246368846664579202442680025602,0.041944335554684437
4,2,90532181875769304090199889821830044831,0.026656213249705997
4,3,46572772480852704751044289729052854207,0.03684829478635829
4,4,217424843980289236821127676533685654585,0.042336338690709525
4,5,117852892819400401229302425450344219167,0.04076832614660917
4,6,286235069110370425174343419984893046128,0.031752254018032146
4,7,130173841694974237050046795424671898059,0.04821638573108585
4,8,242555619357009656888474771549259392008,0.03018424147393179
4,9,82527304380582242189464232237193111372,0.04076832614660917
4,10,171203584015811978373524298151803434748,0.0697765582124657
4,11,93032659555449112622794496919196799993,0.04547236377891023
4,12,165939047079209571676713461993141964132,0.048608388867110934
4,13,195175135444324664027481160594816884115,0.04351234809878479
4,14,229282176440844555556147791812718632008,0.03920031360250882
4,15,319964939274743829112823102589306876856,0.031752254018032146
4,16,125109193561615695403489899543773897925,0.036456291650333206
4,17,83138701285484305001206641503169363328,0.03959231673853391
4,18,286561483081184977656954213726232886423,0.031752254018032146
4,19,260753269781157101741567573320889953224,0.03410427283418267
4,20,123318759389892323608623508436142223344,0.041944335554684437
4,21,321208415147554376717421340709976507287,0.04782438259506076
4,22,29426532664389407271045572165732916688,0.04076832614660917
4,23,203339500933285443556973276677284660320,0.03606428851430812
4,24,285658520408156116346181487403350758386,0.0564484515876127
4,25,174944562219225471938453940875563968840,0.05096040768326147
4,26,284710873686252936172345403921622225807,0.03018424147393179
4,27,254159284109664141058841486853644794730,0.04155233241865935
4,28,195890741311014123766440686611824945570,0.06272050176401411
4,29,119943535757168538722123158653075593797,0.03606428851430812
4,30,257083848410596793539029369615214965936,0.05919247353978832
4,31,180060623425299192791685032563707076701,0.03371226969815758
4,32,12732581184958853296156115860890006860,0.03920031360250882
4,33,218124773809216880965991081491475947983,0.042728341826734614
4,34,112702068938817861065147981742607452309,0.04037632301058409
4,35,130243131222280813747813915506703039088,0.03841630733045864
4,36,12694433819603447702193553337486258292,0.03057624460995688
4,37,282812431540562715752906257158673548898,0.04429635437083497
4,38,129775370253206724845556807925305990778,0.029792238337906705
4,39,53404041210435239760381218942371081352,0.03410427283418267
5,0,25875124576814514366175432796558521410,0.05392339159538862
5,1,319391299429544103325174577142778088532,0.03904797322424693
5,2,96098856454514933201856859919602636378,0.044998140572703606
5,3,223695168646332654561505068437915961290,0.05429527705466716
5,4,13090584607196564507860255466655706436,0.0476013387876534
5,5,198668380519204410637386143913966544903,0.06359241353663071
5,6,240868910433543148393278307224314092368,0.0669393826701376
5,7,272811548339089102289264573452704866006,0.05317962067683154
5,8,18727293290809590531986237217541303835,0.04165117143919673
5,9,20714386578593904042495631491660285735,0.03495723317218297
5,10,174313178166551270326721473403893953153,0.050204537002603196
5,11,260243898086818212996813471336978287370,0.05912978802528821
5,12,39521594726172870033291904618842882246,0.03681666046857568
5,13,210718329950431938870820039477122820534,0.040907400520639646
5,14,98915041088051173565394045279439696338,0.049460766084046114
5,15,81161232060102584688862967741858557659,0.07363332093715136
5,16,328681754199034758863017636148688716950,0.04016362960208256
5,17,97380585706160585125112493274051689267,0.04871699516548903
5,18,68318231487143083483710959243201786326,0.05764224618817404
5,19,182324196548220182535897806236301929594,0.06061732986240238
5,20,102939546107108623001038807036733965819,0.04313871327631089
5,21,10026515129087576452513533002607769742,0.04908888062476757
5,22,51166073913951718804181353577645191208,0.03830420230568985
5,23,40297245922601196219380305322062378981,0.0379323168464113
5,24,40472502100805825956864003786198265734,0.050204537002603196
5,25,8324542453830800106726885864530233499,0.039419858683525474
5,26,312536185346966779734333035198060099028,0.05392339159538862
5,27,174984662457526944250881142421860290400,0.049832651543324655
5,28,323295748329999042735702562009278152367,0.04722945332837486
5,29,282863329710504858658624063320567247810,0.040907400520639646
5,30,49755825776321932851907073261408584781,0.04202305689847527
5,31,172873268568880549734039864663496935702,0.025660096690219413
5,32,83804889246606366316651772192258833203,0.06507995537374489
5,33,65683257959435612989384805681776090979,0.029378951283004835
5,34,269751271294297749839256667640080373057,0.04388248419486798
5,35,108641552891359554964301646173410790262,0.046113796950539236
5,36,187234335979522736676986451590832714329,0.04908888062476757
5,37,28220058212128172896969286866610984875,0.04351059873558944
5,38,241586829811637017407644702038635790666,0.040907400520639646
5,39,293065480517166383441562716050267593202,0.05875790256600967
6,0,67358146146409714280357135680803791715,0.05871949062610541
6,1,305656893464524262233476081874655305404,0.07216130173328617
6,2,305402478728464837596288394906541254025,0.0622568093385214
6,3,138894695868597100505285828381748964957,0.05058365758754864
6,4,315047704392608971072314404295163160932,0.05164485320127343
6,5,75970101506159192737904098277304749139,0.04987619384506544
6,6,314013707263268529053263356100525543445,0.03784931022285108
6,7,286320015728115163596749466835609979581,0.05659709939865582
6,8,247504479560174485820611231317088725913,0.04315528829147506
6,9,238417886366903949221807728577301264578,0.049522461973823845
6,10,43000733751182846239479608586445547923,0.04421648390519986
6,11,79862724708864548075040238162639934181,0.033958259639193494
6,12,43754445755044142324928446920481392811,0.039617969579059074
6,13,257880802979900486774341113208458847719,0.07074637424831977
6,14,75334050338279716129997974647150562945,0.06791651927838699
6,15,287394807631267856262789830030022108587,0.03997170145030067
6,16,213317957068720559160710987155503485804,0.055182171913689425
6,17,15700774621480341735548978421363100374,0.07817474354439335
6,18,254405124766497072581287950268814077342,0.04740007074637425
6,19,41288820932281882004620813095435517154,0.0314821365405023
6,20,56963100110419952393862140555095619007,0.045277679518924654
6,21,279229587813517230773267709006897263998,0.0650866643084542
6,22,228118442408034886185649516882294148268,0.04067916519278387
6,23,174137543711185461273763152637436970906,0.058365758754863814
6,24,155202979945297896403547863665651127991,0.03749557835160948
6,25,306280857949754851029388566217017372826,0.05801202688362221
6,26,159998164684650069092450685855627457977,0.04103289706402547
6,27,335762206318246704198297576439010131795,0.04174036080650867
6,28,281471430631875851467628191427264206488,0.04704633887513265
6,29,295845773006115996221918499219107718308,0.04492394764768306
6,30,331870487935656743547799958879295134662,0.05942695436858861
6,31,16469329601785700494362461106799675953,0.04633887513264945
6,32,304153978871142660613824466021932084742,0.04492394764768306
6,33,34537055151125364628491711719419701199,0.054474708171206226
6,34,316622954870353712107435467851804395852,0.0314821365405023
6,35,44249260242067614277945724545513938569,0.03572691899540149
6,36,303608827506004577220784653414198642395,0.04244782454899186
6,37,74503481202440779680276644943927938755,0.030420940926777502
6,38,248519817919700421092182487645508794762,0.04987619384506544
6,39,121058469283043175336616443662295157813,0.058365758754863814
7,0,145620927589679482548267890301331731626,0.06003372681281619
7,1,166785216528641485565402358206270400246,0.06509274873524452
7,2,145480157352899196128074753563116533267,0.04451939291736931
7,3,43387566223924579749038207096768849823,0.04114671163575042
7,4,30983026256579118183441257886662687667,0.09578414839797639
7,5,54721477348843289403032718989538874907,0.036762225969645866
7,6,144650909409716345012195535992785711009,0.07116357504215852
7,7,75284467994343961208830346420844190108,0.042495784148397976
7,8,64500594897979458685224429115040516709,0.03372681281618887
7,9,184705140540498527432623079969063923957,0.07183811129848229
7,10,285891771496039142232802513947646980619,0.045531197301854974
7,11,312845543207624108775875531705645865225,0.05261382799325464
7,12,198789445527990254776619331765723020088,0.04215851602023609
7,13,183323026987777955453539627290291363449,0.05564924114671164
7,14,144130496384199679207472958618996399745,0.055986509274873524
7,15,174950192015155950010481031215497086666,0.06037099494097808
7,16,286508790791927689748334544258150731578,0.05497470489038786
7,17,91089649422616774482854938029677644655,0.050590219224283306
7,18,167373537732066540221567367693687485635,0.02833052276559865
7,19,214021478190375807388715626612773183639,0.05227655986509275
7,20,206471958788545582151066345048823563569,0.06509274873524452
7,21,104900260748799721454475164404065293302,0.034401349072512646
7,22,278311985606551198882660298126963692417,0.08735244519392918
7,23,3402811507176556250176148953577563224,0.05430016863406408
7,24,228284251398272356847559277265068505883,0.040809443507588535
7,25,95888841925261298520610391762802960927,0.07352445193929173
7,26,120738423938223862221189953755864925851,0.03709949409780776
7,27,40741547631231704173554381325864869513,0.06610455311973018
